dataset,model,task,n_train,d,primary_metric,val_primary,train_time_s,inf_s_per_sample,error,test_accuracy,test_auc_roc,test_rmse,test_r2,test_auc_roc_error
seoul_bike,xrfm,regression,5256,12,rmse,218.7280306373861,2.12813401222229,1.5932539282324108e-05,,,,238.44264252161153,0.863541564456715,
seoul_bike,xgboost,regression,5256,12,rmse,211.72928442519128,5.405781507492065,3.72139830567521e-05,,,,232.32192658689732,0.8704573024110265,
seoul_bike,random_forest,regression,5256,12,rmse,228.76178842667255,0.512854814529419,5.743642375893789e-05,,,,245.64179880098223,0.8551771554447418,
seoul_bike,tabpfn,regression,5256,12,rmse,inf,,,"TabPFNLicenseError: TabPFN requires a one-time license acceptance to download
model weights for local inference, but no interactive terminal
is available.

To authenticate in a non-interactive environment:
  1. Open https://ux.priorlabs.ai in a browser and log in (or register)
  2. Accept the license on the Licenses tab
  3. Copy your API Key from https://ux.priorlabs.ai/account
  4. Set the environment variable: export TABPFN_TOKEN=""<your-api-key>""
     or in Python (before calling .fit()): import os; os.environ[""TABPFN_TOKEN""] = ""<your-api-key>""
Traceback (most recent call last):
  File ""/root/src/experiments.py"", line 216, in run_experiment
    final_model.fit(split)
  File ""/root/src/models.py"", line 315, in fit
    model.fit(X_train, y_train)
  File ""/usr/local/lib/python3.12/contextlib.py"", line 81, in inner
    return func(*args, **kwds)
           ^^^^^^^^^^^^^^^^^^^
  File ""/usr/local/lib/python3.12/site-packages/tabpfn_common_utils/telemetry/core/decorators.py"", line 321, in wrapper
    return _safe_call_with_telemetry(
           ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/usr/local/lib/python3.12/site-packages/tabpfn_common_utils/telemetry/core/decorators.py"", line 365, in _safe_call_with_telemetry
    result = func(*args, **kwargs)
             ^^^^^^^^^^^^^^^^^^^^^
  File ""/usr/local/lib/python3.12/site-packages/tabpfn/regressor.py"", line 778, in fit
    byte_size = self._initialize_model_variables()
                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/usr/local/lib/python3.12/site-packages/tabpfn/regressor.py"", line 601, in _initialize_model_variables
    return initialize_model_variables_helper(self, self.estimator_type)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/usr/local/lib/python3.12/site-packages/tabpfn/base.py"", line 379, in initialize_model_variables_helper
    initialize_tabpfn_model(
  File ""/usr/local/lib/python3.12/site-packages/tabpfn/base.py"", line 198, in initialize_tabpfn_model
    load_model_criterion_config(
  File ""/usr/local/lib/python3.12/site-packages/tabpfn/model_loading.py"", line 647, in load_model_criterion_config
    raise res[0]
  File ""/usr/local/lib/python3.12/site-packages/tabpfn/model_loading.py"", line 472, in _download_model
    ensure_license_accepted(hf_repo_id=_HF_REPOS[version])
  File ""/usr/local/lib/python3.12/site-packages/tabpfn/browser_auth.py"", line 602, in ensure_license_accepted
    raise TabPFNLicenseError(
tabpfn.errors.TabPFNLicenseError: TabPFN requires a one-time license acceptance to download
model weights for local inference, but no interactive terminal
is available.

To authenticate in a non-interactive environment:
  1. Open https://ux.priorlabs.ai in a browser and log in (or register)
  2. Accept the license on the Licenses tab
  3. Copy your API Key from https://ux.priorlabs.ai/account
  4. Set the environment variable: export TABPFN_TOKEN=""<your-api-key>""
     or in Python (before calling .fit()): import os; os.environ[""TABPFN_TOKEN""] = ""<your-api-key>""
",,,,,
seoul_bike,catboost,regression,5256,12,rmse,206.91657209678684,5.185882329940796,1.8741442188280358e-06,,,,225.66036860678176,0.877779762899519,
appliances_energy,xrfm,regression,11841,27,rmse,68.29301800270318,11.5247163772583,2.600514257531061e-05,,,,65.29398296719118,0.5739716795173959,
appliances_energy,xgboost,regression,11841,27,rmse,67.43539272457234,41.650089740753174,9.48491566447569e-05,,,,65.7483536118588,0.5680217195949263,
appliances_energy,random_forest,regression,11841,27,rmse,73.7450345922906,1.688896656036377,4.1430045418537564e-05,,,,72.6139725351176,0.4730947327481273,
appliances_energy,tabpfn,regression,11841,27,rmse,inf,,,"TabPFNLicenseError: TabPFN requires a one-time license acceptance to download
model weights for local inference, but no interactive terminal
is available.

To authenticate in a non-interactive environment:
  1. Open https://ux.priorlabs.ai in a browser and log in (or register)
  2. Accept the license on the Licenses tab
  3. Copy your API Key from https://ux.priorlabs.ai/account
  4. Set the environment variable: export TABPFN_TOKEN=""<your-api-key>""
     or in Python (before calling .fit()): import os; os.environ[""TABPFN_TOKEN""] = ""<your-api-key>""
Traceback (most recent call last):
  File ""/root/src/experiments.py"", line 216, in run_experiment
    final_model.fit(split)
  File ""/root/src/models.py"", line 315, in fit
    model.fit(X_train, y_train)
  File ""/usr/local/lib/python3.12/contextlib.py"", line 81, in inner
    return func(*args, **kwds)
           ^^^^^^^^^^^^^^^^^^^
  File ""/usr/local/lib/python3.12/site-packages/tabpfn_common_utils/telemetry/core/decorators.py"", line 321, in wrapper
    return _safe_call_with_telemetry(
           ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/usr/local/lib/python3.12/site-packages/tabpfn_common_utils/telemetry/core/decorators.py"", line 365, in _safe_call_with_telemetry
    result = func(*args, **kwargs)
             ^^^^^^^^^^^^^^^^^^^^^
  File ""/usr/local/lib/python3.12/site-packages/tabpfn/regressor.py"", line 778, in fit
    byte_size = self._initialize_model_variables()
                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/usr/local/lib/python3.12/site-packages/tabpfn/regressor.py"", line 601, in _initialize_model_variables
    return initialize_model_variables_helper(self, self.estimator_type)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/usr/local/lib/python3.12/site-packages/tabpfn/base.py"", line 379, in initialize_model_variables_helper
    initialize_tabpfn_model(
  File ""/usr/local/lib/python3.12/site-packages/tabpfn/base.py"", line 198, in initialize_tabpfn_model
    load_model_criterion_config(
  File ""/usr/local/lib/python3.12/site-packages/tabpfn/model_loading.py"", line 647, in load_model_criterion_config
    raise res[0]
  File ""/usr/local/lib/python3.12/site-packages/tabpfn/model_loading.py"", line 472, in _download_model
    ensure_license_accepted(hf_repo_id=_HF_REPOS[version])
  File ""/usr/local/lib/python3.12/site-packages/tabpfn/browser_auth.py"", line 602, in ensure_license_accepted
    raise TabPFNLicenseError(
tabpfn.errors.TabPFNLicenseError: TabPFN requires a one-time license acceptance to download
model weights for local inference, but no interactive terminal
is available.

To authenticate in a non-interactive environment:
  1. Open https://ux.priorlabs.ai in a browser and log in (or register)
  2. Accept the license on the Licenses tab
  3. Copy your API Key from https://ux.priorlabs.ai/account
  4. Set the environment variable: export TABPFN_TOKEN=""<your-api-key>""
     or in Python (before calling .fit()): import os; os.environ[""TABPFN_TOKEN""] = ""<your-api-key>""
",,,,,
appliances_energy,catboost,regression,11841,27,rmse,69.75672150212728,11.059070110321045,3.5367134042048353e-06,,,,66.9634766974125,0.5519070258023853,
